step,reward,seed
0,0.7318435907363892,1
50000,1.2894489765167236,1
100000,3.056267023086548,1
150000,131.6639862060547,1
200000,457.4723510742188,1
250000,595.1521606445312,1
300000,711.1634521484375,1
350000,800.1331176757812,1
400000,846.2794189453125,1
450000,860.26318359375,1
500000,866.8946533203125,1
550000,875.17724609375,1
600000,878.1783447265625,1
650000,877.6921997070312,1
700000,879.9230346679688,1
750000,881.1884765625,1
800000,884.5265502929688,1
850000,881.1165161132812,1
900000,879.4806518554688,1
950000,878.6238403320312,1
1000000,879.5021362304688,1
1050000,889.1331787109375,1
1100000,886.0863037109375,1
1150000,878.6353759765625,1
1200000,886.6515502929688,1
1250000,889.1314697265625,1
1300000,902.3351440429688,1
1350000,891.6701049804688,1
1400000,885.5023193359375,1
1450000,899.1544189453125,1
1500000,895.3778076171875,1
1550000,898.58056640625,1
1600000,902.6507568359376,1
1650000,906.2732543945312,1
1700000,904.3726806640624,1
1750000,898.3984375,1
1800000,903.6905517578124,1
1850000,898.2488403320312,1
1900000,906.2932739257812,1
1950000,902.9432373046876,1
2000000,903.3690185546876,1
0,1.0276086330413818,2
50000,1.3311539888381958,2
100000,1.7913570404052734,2
150000,3.980770111083984,2
200000,396.2641906738281,2
250000,519.1843872070312,2
300000,703.69775390625,2
350000,793.16552734375,2
400000,811.7605590820312,2
450000,851.6912841796875,2
500000,861.2076416015625,2
550000,858.6121826171875,2
600000,864.9982299804688,2
650000,861.0740966796875,2
700000,865.98876953125,2
750000,870.5860595703125,2
800000,860.5704345703125,2
850000,859.0593872070312,2
900000,867.2130737304688,2
950000,872.4610595703125,2
1000000,874.4514770507812,2
1050000,872.5367431640625,2
1100000,869.5321044921875,2
1150000,876.4326171875,2
1200000,880.1041259765625,2
1250000,880.5969848632812,2
1300000,889.896484375,2
1350000,888.5877685546875,2
1400000,886.2752075195312,2
1450000,881.3638916015625,2
1500000,880.5206909179688,2
1550000,884.4942626953125,2
1600000,888.51611328125,2
1650000,885.2376708984375,2
1700000,888.5597534179688,2
1750000,886.99755859375,2
1800000,893.5906372070312,2
1850000,887.8244018554688,2
1900000,890.8816528320312,2
1950000,893.71435546875,2
2000000,882.4723510742188,2
0,0.988056182861328,3
50000,1.4259381294250488,3
100000,1.8860673904418943,3
150000,5.701104640960693,3
200000,391.0745239257813,3
250000,499.0571899414063,3
300000,588.6002197265625,3
350000,665.2099609375,3
400000,764.4133911132812,3
450000,824.6009521484375,3
500000,848.0595703125,3
550000,832.6390380859375,3
600000,847.2174682617188,3
650000,854.5105590820312,3
700000,850.1598510742188,3
750000,849.6871948242188,3
800000,858.5911865234375,3
850000,844.068359375,3
900000,856.8084106445312,3
950000,853.59375,3
1000000,847.2025146484375,3
1050000,849.0662231445312,3
1100000,855.0526123046875,3
1150000,862.7064208984375,3
1200000,871.5242309570312,3
1250000,851.283203125,3
1300000,862.2069091796875,3
1350000,871.60302734375,3
1400000,868.4888916015625,3
1450000,868.5374145507812,3
1500000,876.2188720703125,3
1550000,873.5880737304688,3
1600000,876.8377075195312,3
1650000,882.3232421875,3
1700000,874.3333129882812,3
1750000,880.4644775390625,3
1800000,884.20263671875,3
1850000,875.6236572265625,3
1900000,881.6861572265625,3
1950000,878.8270263671875,3
2000000,883.1692504882812,3
