step,reward,seed
0,7.492472648620605,1
50000,58.14176559448242,1
100000,204.61715698242188,1
150000,270.89117431640625,1
200000,365.3704833984375,1
250000,419.7653198242188,1
300000,517.47119140625,1
350000,519.433349609375,1
400000,583.0960083007812,1
450000,612.8777465820312,1
500000,616.742919921875,1
550000,644.1380615234375,1
600000,640.1245727539062,1
650000,647.4358520507812,1
700000,671.5828857421875,1
750000,689.9002685546875,1
800000,691.9664306640625,1
850000,678.478515625,1
900000,703.9096069335938,1
950000,695.1210327148438,1
1000000,694.5462646484375,1
1050000,725.6141357421875,1
1100000,713.8911743164062,1
1150000,724.1507568359375,1
1200000,720.4468383789062,1
1250000,717.2112426757812,1
1300000,724.9962158203125,1
1350000,720.373046875,1
1400000,724.7736206054688,1
1450000,748.3711547851562,1
1500000,732.6748657226562,1
1550000,739.63037109375,1
1600000,738.204833984375,1
1650000,750.2691040039062,1
1700000,762.6294555664062,1
1750000,773.1817626953125,1
1800000,758.3003540039062,1
1850000,768.0999755859375,1
1900000,775.5350341796875,1
1950000,761.1406860351562,1
2000000,755.6295776367188,1
0,5.486477375030518,2
50000,37.47078704833984,2
100000,184.22227478027344,2
150000,260.51226806640625,2
200000,322.0538635253906,2
250000,423.2210998535156,2
300000,541.1075439453125,2
350000,548.06689453125,2
400000,578.2428588867188,2
450000,601.161865234375,2
500000,617.043212890625,2
550000,636.1973876953125,2
600000,628.2149658203125,2
650000,670.2921142578125,2
700000,701.1980590820312,2
750000,697.1424560546875,2
800000,726.1896362304688,2
850000,713.440185546875,2
900000,693.136962890625,2
950000,713.6742553710938,2
1000000,703.3756713867188,2
1050000,731.85595703125,2
1100000,724.3125610351562,2
1150000,730.710205078125,2
1200000,746.8312377929688,2
1250000,745.3304443359375,2
1300000,731.5987548828125,2
1350000,709.0023803710938,2
1400000,751.6820068359375,2
1450000,746.5549926757812,2
1500000,750.521240234375,2
1550000,758.9814453125,2
1600000,767.2141723632812,2
1650000,772.7053833007812,2
1700000,758.1760864257812,2
1750000,769.04736328125,2
1800000,750.1004638671875,2
1850000,753.8533935546875,2
1900000,781.3142700195312,2
1950000,786.0921630859375,2
2000000,768.8169555664062,2
0,9.002747535705566,3
50000,23.773696899414062,3
100000,181.05030822753903,3
150000,301.08013916015625,3
200000,466.130859375,3
250000,513.1846313476562,3
300000,552.5374755859375,3
350000,471.21966552734375,3
400000,571.3963623046875,3
450000,633.093017578125,3
500000,641.6174926757812,3
550000,666.8568115234375,3
600000,645.6092529296875,3
650000,714.7794189453125,3
700000,705.53857421875,3
750000,700.31982421875,3
800000,710.6190185546875,3
850000,714.6741943359375,3
900000,734.9388427734375,3
950000,740.44189453125,3
1000000,735.67333984375,3
1050000,757.8728637695312,3
1100000,744.2816772460938,3
1150000,741.8135986328125,3
1200000,756.7421264648438,3
1250000,763.66162109375,3
1300000,753.4962158203125,3
1350000,770.9494018554688,3
1400000,767.2307739257812,3
1450000,774.8743896484375,3
1500000,760.763916015625,3
1550000,776.3262939453125,3
1600000,786.2317504882812,3
1650000,777.8968505859375,3
1700000,779.9537963867188,3
1750000,774.8526611328125,3
1800000,805.6993408203125,3
1850000,792.2735595703125,3
1900000,783.90869140625,3
1950000,794.5650634765625,3
2000000,798.2369384765625,3
