step,reward,std,ci95
0,0.8,0.2,0.2
100000,0.8,0.1,0.1
200000,0.7,0.1,0.2
300000,0.7,0.0,0.0
400000,0.7,0.1,0.2
500000,0.6,0.1,0.2
600000,0.6,0.2,0.3
700000,0.7,0.3,0.4
800000,0.7,0.2,0.2
900000,0.8,0.1,0.1
1000000,0.8,0.2,0.2
1100000,0.8,0.1,0.1
1200000,3.6,3.9,4.4
1300000,6.4,7.7,8.7
1400000,9.1,11.6,13.2
1500000,11.9,15.5,17.5
1600000,18.9,25.6,28.9
1700000,24.9,29.6,33.5
1800000,34.1,31.9,36.2
1900000,48.7,28.5,32.3
2000000,62.5,25.8,29.2
