step,reward,std,ci95
0,1.9,0.7,0.8
100000,9.9,2.2,2.5
200000,39.1,14.8,16.7
300000,92.2,21.0,23.8
400000,170.0,5.5,6.2
500000,228.9,9.5,10.7
600000,256.0,12.6,14.3
700000,277.4,15.9,18.0
800000,299.2,13.4,15.2
900000,330.3,11.3,12.7
1000000,326.0,43.4,49.1
1100000,354.3,65.6,74.3
1200000,444.6,36.8,41.7
1300000,489.9,8.0,9.0
1400000,531.8,21.7,24.6
1500000,569.1,56.1,63.4
1600000,605.0,51.2,58.0
1700000,651.3,51.7,58.5
1800000,620.8,132.5,150.0
1900000,682.2,120.6,136.5
