step,reward,std,ci95
0,3.4,0.5,0.6
100000,24.8,3.5,4.0
200000,83.1,17.1,19.3
300000,196.5,23.2,26.3
400000,286.8,19.0,21.5
500000,330.5,20.4,23.1
600000,377.8,28.1,31.8
700000,410.6,42.1,47.7
800000,435.3,52.5,59.4
900000,471.3,63.0,71.3
1000000,531.2,55.4,62.7
1100000,615.7,57.5,65.1
1200000,670.4,56.5,63.9
1300000,720.2,56.7,64.2
1400000,784.5,65.0,73.6
1500000,824.0,56.9,64.3
1600000,862.3,41.9,47.4
1700000,898.5,33.4,37.8
1800000,920.9,15.5,17.6
1900000,926.1,8.0,9.1
