step,reward,std,ci95
0,9.1,2.0,2.3
100000,121.9,48.5,54.9
200000,340.2,102.6,116.1
300000,645.4,103.1,116.6
400000,861.8,52.4,59.3
500000,892.0,11.9,13.4
600000,906.7,11.4,12.9
700000,908.3,26.9,30.5
800000,901.9,36.1,40.9
900000,908.7,32.3,36.6
1000000,912.3,28.1,31.8
1100000,895.1,48.0,54.3
1200000,903.5,39.6,44.8
1300000,924.3,16.7,18.9
1400000,906.0,31.2,35.3
1500000,901.7,33.4,37.8
1600000,916.8,26.5,30.0
1700000,925.4,19.3,21.8
1800000,926.1,19.2,21.8
1900000,920.5,24.7,28.0
