step,reward,std,ci95
0,14.1,0.2,0.2
100000,52.0,0.4,0.4
200000,95.6,1.0,1.2
300000,172.7,2.8,3.2
400000,242.4,42.6,48.2
500000,374.4,87.1,98.5
600000,493.4,137.2,155.3
700000,546.2,193.3,218.8
800000,658.5,156.1,176.7
900000,688.4,87.9,99.4
1000000,697.6,56.9,64.4
1100000,737.1,60.7,68.6
1200000,788.5,37.3,42.2
1300000,846.3,15.8,17.9
1400000,843.8,79.2,89.6
1500000,856.3,64.5,73.0
1600000,907.7,5.8,6.6
1700000,899.3,6.1,6.9
1800000,888.0,7.8,8.9
1900000,930.5,18.9,21.4
