step,reward,std,ci95
0,3.8,0.8,0.8
100000,7.3,1.3,1.5
200000,10.8,2.8,3.2
300000,13.6,1.5,1.7
400000,16.8,1.4,1.6
500000,18.7,4.0,4.6
600000,19.0,5.9,6.7
700000,17.0,4.0,4.6
800000,14.1,2.2,2.5
900000,14.4,0.4,0.4
1000000,13.6,0.6,0.7
1100000,14.1,0.9,1.0
1200000,13.9,1.1,1.2
1300000,15.1,2.7,3.1
1400000,15.1,3.0,3.4
1500000,15.4,4.1,4.6
1600000,15.7,4.9,5.5
1700000,14.1,4.0,4.5
1800000,14.2,3.8,4.3
1900000,13.1,3.1,3.5
