step,reward,std,ci95
0,12.6,1.0,1.1
100000,21.4,1.6,1.8
200000,28.4,3.0,3.4
300000,34.5,3.8,4.3
400000,37.5,1.9,2.1
500000,38.0,0.4,0.5
600000,39.1,0.4,0.4
700000,38.9,2.1,2.4
800000,41.2,5.0,5.6
900000,43.3,5.8,6.6
1000000,44.1,6.1,6.8
1100000,44.2,7.0,7.9
1200000,44.3,8.0,9.0
1300000,50.4,11.6,13.1
1400000,51.3,11.3,12.8
1500000,53.2,6.8,7.7
1600000,57.3,12.5,14.2
1700000,61.0,12.1,13.7
1800000,61.9,9.0,10.2
1900000,74.1,17.5,19.8
