step,reward,std,ci95
0,1.7,0.2,0.2
100000,15.5,6.4,7.2
200000,40.9,6.4,7.3
300000,85.0,0.9,1.0
400000,159.7,13.1,14.8
500000,240.3,31.5,35.7
600000,325.7,19.1,21.6
700000,427.9,3.6,4.1
800000,481.6,54.1,61.3
900000,556.3,29.2,33.1
1000000,665.4,55.7,63.0
1100000,637.9,86.7,98.1
1200000,552.0,11.4,12.9
1300000,578.5,77.8,88.1
1400000,656.3,70.1,79.3
1500000,593.5,54.1,61.2
1600000,517.4,97.0,109.8
1700000,632.0,78.1,88.4
1800000,669.2,25.7,29.1
1900000,672.6,10.4,11.8
