step,reward,std,ci95
0,1.8,0.2,0.2
100000,25.0,15.3,17.3
200000,95.9,6.4,7.2
300000,102.1,12.3,14.0
400000,92.8,10.5,11.9
500000,99.0,2.1,2.4
600000,113.9,17.6,20.0
700000,150.8,25.5,28.9
800000,159.5,38.7,43.8
900000,180.4,18.5,20.9
1000000,166.2,44.5,50.4
1100000,187.8,38.6,43.7
1200000,194.9,32.8,37.1
1300000,170.6,25.0,28.2
1400000,191.9,32.4,36.7
1500000,179.4,36.2,40.9
1600000,197.1,12.1,13.7
1700000,183.5,24.3,27.5
1800000,144.6,14.6,16.5
1900000,177.3,35.6,40.3
